2019,FL,0-14,159.978644007788
2019,FL,15,172.923678527172
2019,FL,16,177.894869888475
2019,FL,17,182.866045317754
2019,FL,18,188.219667197735
2019,FL,19,190.699152062312
2019,FL,20,196.217650911667
2019,FL,21,320.032635864747
2019,FL,22,320.032635864747
2019,FL,23,320.032635864747
2019,FL,24,320.032635864747
2019,FL,25,320.624236147985
2019,FL,26,324.448208532478
2019,FL,27,329.058204992028
2019,FL,28,336.51491414409
2019,FL,29,342.633347495126
2019,FL,30,345.762566825983
2019,FL,31,350.351386086028
2019,FL,32,354.940113294385
2019,FL,33,357.808150115061
2019,FL,34,360.867341122319
2019,FL,35,362.538796247119
2019,FL,36,364.068459904403
2019,FL,37,365.597985484152
2019,FL,38,367.127617277389
2019,FL,39,370.186762258802
2019,FL,40,373.250695698348
2019,FL,41,377.833947601342
2019,FL,42,382.23154363604
2019,FL,43,388.349934501679
2019,FL,44,395.99790228359
2019,FL,45,405.327330500972
2019,FL,46,416.035250486809
2019,FL,47,428.080113294387
2019,FL,48,441.846549831826
2019,FL,49,455.421679943352
2019,FL,50,470.855229244112
2019,FL,51,485.960021242696
2019,FL,52,502.594432642944
2019,FL,53,519.419982297752
2019,FL,54,537.584021950788
2019,FL,55,556.189346787045
2019,FL,56,575.88286068331
2019,FL,57,595.767647371218
2019,FL,58,616.990862099491
2019,FL,59,627.506854310501
2019,FL,60,648.878884758362
2019,FL,61,667.234131704725
2019,FL,62,679.279668967956
2019,FL,63,694.384455655866
2019,FL,64 and over,704.069768100543
2019,FL,Family Option,19.7
